metric,timestamp,value
qname=abb.com.,2025-11-22T18:53:34+00:00,408
qname=abb.com.,2025-11-22T18:53:48+00:00,992
qname=abb.com.,2025-11-22T18:54:02+00:00,992
qname=abb.com.,2025-11-22T18:54:16+00:00,992
qname=abb.com.,2025-11-22T18:54:30+00:00,1304
qname=abb.com.,2025-11-22T18:54:44+00:00,1304
qname=abb.com.,2025-11-22T18:54:58+00:00,1304
qname=abb.com.,2025-11-22T18:55:12+00:00,1304
qname=abb.com.,2025-11-22T18:55:26+00:00,1304
qname=abb.com.,2025-11-22T18:55:40+00:00,1304
qname=abb.com.,2025-11-22T18:55:54+00:00,1304
qname=abb.com.,2025-11-22T18:56:08+00:00,1304
qname=abb.com.,2025-11-22T18:56:22+00:00,1304
qname=abb.com.,2025-11-22T18:56:36+00:00,1304
qname=abb.com.,2025-11-22T18:56:50+00:00,1304
qname=abb.com.,2025-11-22T18:57:04+00:00,1452
qname=abb.com.,2025-11-22T18:57:18+00:00,1452
qname=abb.com.,2025-11-22T18:57:32+00:00,1452
qname=abb.com.,2025-11-22T18:57:46+00:00,1452
qname=abb.com.,2025-11-22T18:58:00+00:00,1452
qname=abb.com.,2025-11-22T18:58:14+00:00,1452
qname=abb.com.,2025-11-22T18:58:28+00:00,1452
qname=abb.com.,2025-11-22T18:58:42+00:00,460
qname=abb.com.,2025-11-22T18:58:56+00:00,460
qname=abb.com.,2025-11-22T18:59:10+00:00,460
qname=abb.com.,2025-11-22T18:59:24+00:00,452
qname=abb.com.,2025-11-22T18:59:38+00:00,148
qname=abb.com.,2025-11-22T18:59:52+00:00,364
qname=abb.com.,2025-11-22T19:00:06+00:00,508
qname=abb.com.,2025-11-22T19:00:20+00:00,508
qname=abb.com.,2025-11-22T19:00:34+00:00,508
qname=abb.com.,2025-11-22T19:00:48+00:00,672
qname=abb.com.,2025-11-22T19:01:02+00:00,672
qname=abb.com.,2025-11-22T19:01:16+00:00,672
qname=abb.com.,2025-11-22T19:01:30+00:00,672
qname=abb.com.,2025-11-22T19:01:44+00:00,672
qname=abb.com.,2025-11-22T19:01:58+00:00,524
qname=abb.com.,2025-11-22T19:02:12+00:00,524
qname=abb.com.,2025-11-22T19:02:26+00:00,524
qname=abb.com.,2025-11-22T19:02:40+00:00,524
qname=abb.com.,2025-11-22T19:02:54+00:00,524
qname=abb.com.,2025-11-22T19:03:08+00:00,524
qname=abb.com.,2025-11-22T19:03:22+00:00,524
qname=abb.com.,2025-11-22T19:03:36+00:00,524
qname=abb.com.,2025-11-22T19:03:50+00:00,524
qname=abb.com.,2025-11-22T19:04:04+00:00,524
qname=abb.com.,2025-11-22T19:04:18+00:00,524
qname=abb.com.,2025-11-22T19:04:32+00:00,524
qname=abb.com.,2025-11-22T19:04:46+00:00,524
qname=abb.com.,2025-11-22T19:05:00+00:00,164
qname=abb.com.,2025-11-22T19:05:14+00:00,164
qname=abb.com.,2025-11-22T19:05:28+00:00,164
qname=abb.com.,2025-11-22T19:06:52+00:00,380
qname=abb.com.,2025-11-22T19:07:06+00:00,380
qname=abb.com.,2025-11-22T19:07:20+00:00,380
qname=abb.com.,2025-11-22T19:07:34+00:00,380
qname=abb.com.,2025-11-22T19:07:48+00:00,380
qname=abb.com.,2025-11-22T19:08:02+00:00,380
qname=abb.com.,2025-11-22T19:08:16+00:00,380
qname=abb.com.,2025-11-22T19:08:30+00:00,380
qname=abb.com.,2025-11-22T19:08:44+00:00,380
qname=abb.com.,2025-11-22T19:08:58+00:00,380
qname=abb.com.,2025-11-22T19:09:12+00:00,380
qname=abb.com.,2025-11-22T19:09:26+00:00,380
qname=abb.com.,2025-11-22T19:09:40+00:00,380
qname=abb.com.,2025-11-22T19:09:54+00:00,380
qname=abb.com.,2025-11-22T19:10:08+00:00,380
qname=abb.com.,2025-11-22T19:10:22+00:00,380
qname=abb.com.,2025-11-22T19:10:36+00:00,380
qname=abb.com.,2025-11-22T19:10:50+00:00,380
qname=abb.com.,2025-11-22T19:11:04+00:00,380
qname=abb.com.,2025-11-22T19:11:18+00:00,380
qname=abb.com.,2025-11-22T19:11:32+00:00,1312
qname=abb.com.,2025-11-22T19:11:46+00:00,1372
qname=abb.com.,2025-11-22T19:12:00+00:00,992
qname=abb.com.,2025-11-22T19:12:14+00:00,1376
qname=abb.com.,2025-11-22T19:12:28+00:00,1652
qname=abb.com.,2025-11-22T19:12:42+00:00,1652
qname=abb.com.,2025-11-22T19:12:56+00:00,1932
qname=abb.com.,2025-11-22T19:13:10+00:00,2440
qname=abb.com.,2025-11-22T19:13:24+00:00,2440
qname=abb.com.,2025-11-22T19:13:38+00:00,2440
qname=abb.com.,2025-11-22T19:13:52+00:00,2440
qname=abb.com.,2025-11-22T19:14:06+00:00,2440
qname=abb.com.,2025-11-22T19:14:20+00:00,2440
qname=abb.com.,2025-11-22T19:14:34+00:00,2440
qname=abb.com.,2025-11-22T19:14:48+00:00,2640
qname=abb.com.,2025-11-22T19:15:02+00:00,2648
qname=abb.com.,2025-11-22T19:15:16+00:00,2648
qname=abb.com.,2025-11-22T19:15:30+00:00,2648
qname=abb.com.,2025-11-22T19:15:44+00:00,2648
qname=abb.com.,2025-11-22T19:15:58+00:00,2648
qname=abb.com.,2025-11-22T19:16:12+00:00,2648
qname=abb.com.,2025-11-22T19:16:26+00:00,2232
qname=abb.com.,2025-11-22T19:16:40+00:00,1656
qname=abb.com.,2025-11-22T19:16:54+00:00,1656
qname=abb.com.,2025-11-22T19:17:08+00:00,1584
qname=abb.com.,2025-11-22T19:17:22+00:00,996
qname=abb.com.,2025-11-22T19:17:36+00:00,996
qname=abb.com.,2025-11-22T19:17:50+00:00,1228
qname=abb.com.,2025-11-22T19:18:04+00:00,1376
qname=abb.com.,2025-11-22T19:18:18+00:00,1340
qname=abb.com.,2025-11-22T19:18:32+00:00,1340
qname=abb.com.,2025-11-22T19:18:46+00:00,1340
qname=abb.com.,2025-11-22T19:19:00+00:00,1340
qname=abb.com.,2025-11-22T19:19:14+00:00,1340
qname=abb.com.,2025-11-22T19:19:28+00:00,2308
qname=abb.com.,2025-11-22T19:19:42+00:00,2332
qname=abb.com.,2025-11-22T19:19:56+00:00,2252
qname=abb.com.,2025-11-22T19:20:10+00:00,2252
qname=abb.com.,2025-11-22T19:20:24+00:00,2252
qname=abb.com.,2025-11-22T19:20:38+00:00,2252
qname=abb.com.,2025-11-22T19:20:52+00:00,2252
qname=abb.com.,2025-11-22T19:21:06+00:00,2252
qname=abb.com.,2025-11-22T19:21:20+00:00,2252
qname=abb.com.,2025-11-22T19:21:34+00:00,2252
qname=abb.com.,2025-11-22T19:21:48+00:00,2252
qname=abb.com.,2025-11-22T19:22:02+00:00,2252
qname=abb.com.,2025-11-22T19:22:16+00:00,2252
qname=abb.com.,2025-11-22T19:22:30+00:00,2252
qname=abb.com.,2025-11-22T19:22:44+00:00,2252
qname=abb.com.,2025-11-22T19:22:58+00:00,1332
qname=abb.com.,2025-11-22T19:23:12+00:00,1120
qname=abb.com.,2025-11-22T19:23:26+00:00,1120
qname=abb.com.,2025-11-22T19:23:40+00:00,1120
qname=abb.com.,2025-11-22T19:23:54+00:00,1120
qname=abb.com.,2025-11-22T19:24:08+00:00,1120
qname=abb.com.,2025-11-22T19:24:22+00:00,652
qname=abb.com.,2025-11-22T19:24:36+00:00,128
qname=abb.com.,2025-11-22T19:28:48+00:00,292
qname=abb.com.,2025-11-22T19:29:02+00:00,780
qname=abb.com.,2025-11-22T19:29:16+00:00,1002
qname=abb.com.,2025-11-22T19:29:30+00:00,1772
qname=abb.com.,2025-11-22T19:29:44+00:00,1772
qname=abb.com.,2025-11-22T19:29:58+00:00,1772
qname=abb.com.,2025-11-22T19:30:12+00:00,2764
qname=abb.com.,2025-11-22T19:30:26+00:00,2764
qname=abb.com.,2025-11-22T19:30:40+00:00,2764
qname=abb.com.,2025-11-22T19:30:54+00:00,2764
qname=abb.com.,2025-11-22T19:31:08+00:00,3632
qname=abb.com.,2025-11-22T19:31:22+00:00,3756
qname=abb.com.,2025-11-22T19:31:36+00:00,3756
qname=abb.com.,2025-11-22T19:31:50+00:00,3756
qname=abb.com.,2025-11-22T19:32:04+00:00,3756
qname=abb.com.,2025-11-22T19:32:18+00:00,3756
qname=abb.com.,2025-11-22T19:32:32+00:00,3756
qname=abb.com.,2025-11-22T19:32:46+00:00,3756
qname=abb.com.,2025-11-22T19:33:00+00:00,3756
qname=abb.com.,2025-11-22T19:33:14+00:00,3756
qname=abb.com.,2025-11-22T19:33:28+00:00,3832
qname=abb.com.,2025-11-22T19:33:42+00:00,4544
qname=abb.com.,2025-11-22T19:33:56+00:00,3796
qname=abb.com.,2025-11-22T19:34:10+00:00,3764
qname=abb.com.,2025-11-22T19:34:24+00:00,2820
qname=abb.com.,2025-11-22T19:34:38+00:00,2772
qname=abb.com.,2025-11-22T19:34:52+00:00,2772
qname=abb.com.,2025-11-22T19:35:06+00:00,2132
qname=atlassian.com.,2025-11-22T18:52:52+00:00,516
qname=atlassian.com.,2025-11-22T18:53:06+00:00,756
qname=atlassian.com.,2025-11-22T18:53:20+00:00,960
qname=atlassian.com.,2025-11-22T18:53:34+00:00,960
qname=atlassian.com.,2025-11-22T18:53:48+00:00,960
qname=atlassian.com.,2025-11-22T18:54:02+00:00,960
qname=atlassian.com.,2025-11-22T18:54:16+00:00,960
qname=atlassian.com.,2025-11-22T18:54:30+00:00,960
