metric,timestamp,value
qname=VERSION.BIND.,2025-11-22T18:55:40+00:00,6
qname=VERSION.BIND.,2025-11-22T18:55:54+00:00,6
qname=VERSION.BIND.,2025-11-22T18:56:08+00:00,6
qname=VERSION.BIND.,2025-11-22T18:56:22+00:00,6
qname=VERSION.BIND.,2025-11-22T18:56:36+00:00,6
qname=VERSION.BIND.,2025-11-22T18:56:50+00:00,6
qname=VERSION.BIND.,2025-11-22T18:57:04+00:00,6
qname=VERSION.BIND.,2025-11-22T18:57:18+00:00,6
qname=VERSION.BIND.,2025-11-22T18:57:32+00:00,6
qname=VERSION.BIND.,2025-11-22T18:57:46+00:00,6
qname=VERSION.BIND.,2025-11-22T18:58:00+00:00,6
qname=VERSION.BIND.,2025-11-22T18:58:14+00:00,6
qname=VERSION.BIND.,2025-11-22T18:58:28+00:00,6
qname=VERSION.BIND.,2025-11-22T18:58:42+00:00,6
qname=VERSION.BIND.,2025-11-22T18:58:56+00:00,6
qname=VERSION.BIND.,2025-11-22T18:59:10+00:00,6
qname=VERSION.BIND.,2025-11-22T18:59:24+00:00,6
qname=VERSION.BIND.,2025-11-22T18:59:38+00:00,6
qname=VERSION.BIND.,2025-11-22T18:59:52+00:00,6
qname=VERSION.BIND.,2025-11-22T19:00:06+00:00,6
qname=VERSION.BIND.,2025-11-22T19:00:20+00:00,6
qname=VERSION.BIND.,2025-11-22T19:00:34+00:00,6
qname=VERSION.BIND.,2025-11-22T19:00:48+00:00,6
qname=VERSION.BIND.,2025-11-22T19:01:02+00:00,6
qname=VERSION.BIND.,2025-11-22T19:01:16+00:00,6
qname=VERSION.BIND.,2025-11-22T19:01:30+00:00,6
qname=VERSION.BIND.,2025-11-22T19:01:44+00:00,6
qname=VERSION.BIND.,2025-11-22T19:01:58+00:00,6
qname=VERSION.BIND.,2025-11-22T19:02:12+00:00,6
qname=VERSION.BIND.,2025-11-22T19:02:26+00:00,6
qname=VERSION.BIND.,2025-11-22T19:02:40+00:00,6
qname=VERSION.BIND.,2025-11-22T19:02:54+00:00,6
qname=VERSION.BIND.,2025-11-22T19:03:08+00:00,6
qname=VERSION.BIND.,2025-11-22T19:03:22+00:00,6
qname=VERSION.BIND.,2025-11-22T19:03:36+00:00,6
qname=VERSION.BIND.,2025-11-22T19:03:50+00:00,6
qname=VERSION.BIND.,2025-11-22T19:04:04+00:00,6
qname=VERSION.BIND.,2025-11-22T19:04:18+00:00,6
qname=VERSION.BIND.,2025-11-22T19:04:32+00:00,6
qname=VERSION.BIND.,2025-11-22T19:04:46+00:00,6
qname=VERSION.BIND.,2025-11-22T19:05:00+00:00,6
qname=VERSION.BIND.,2025-11-22T19:05:14+00:00,6
qname=VERSION.BIND.,2025-11-22T19:05:28+00:00,6
qname=VERSION.BIND.,2025-11-22T19:05:42+00:00,6
qname=VERSION.BIND.,2025-11-22T19:05:56+00:00,6
qname=VERSION.BIND.,2025-11-22T19:06:10+00:00,6
qname=VERSION.BIND.,2025-11-22T19:06:24+00:00,6
qname=VERSION.BIND.,2025-11-22T19:06:38+00:00,6
qname=VERSION.BIND.,2025-11-22T19:06:52+00:00,6
qname=VERSION.BIND.,2025-11-22T19:07:06+00:00,6
qname=VERSION.BIND.,2025-11-22T19:07:20+00:00,6
qname=VERSION.BIND.,2025-11-22T19:07:34+00:00,6
qname=VERSION.BIND.,2025-11-22T19:07:48+00:00,6
qname=VERSION.BIND.,2025-11-22T19:08:02+00:00,6
qname=VERSION.BIND.,2025-11-22T19:08:16+00:00,6
qname=VERSION.BIND.,2025-11-22T19:08:30+00:00,6
qname=VERSION.BIND.,2025-11-22T19:08:44+00:00,6
qname=VERSION.BIND.,2025-11-22T19:08:58+00:00,6
qname=VERSION.BIND.,2025-11-22T19:09:12+00:00,6
qname=VERSION.BIND.,2025-11-22T19:09:26+00:00,6
qname=VERSION.BIND.,2025-11-22T19:09:40+00:00,6
qname=VERSION.BIND.,2025-11-22T19:09:54+00:00,6
qname=VERSION.BIND.,2025-11-22T19:10:08+00:00,6
qname=VERSION.BIND.,2025-11-22T19:10:22+00:00,6
qname=VERSION.BIND.,2025-11-22T19:10:36+00:00,6
